Timestamp;Value
2014-12-15;9278
2014-12-16;9276
2014-12-17;9274
2014-12-18;9271
2014-12-19;9268
2014-12-20;9265
2014-12-21;9262
2014-12-22;9260
2014-12-23;9256
2014-12-24;9253
2014-12-25;9251
2014-12-26;9249
2014-12-27;9246
2014-12-28;9243
2014-12-29;9239
2014-12-30;9236
2014-12-31;9234
2015-01-01;9231
2015-01-02;9229
2015-01-03;9227
2015-01-04;9224
2015-01-05;9221
2015-01-06;9219
2015-01-07;9216
2015-01-08;9214
2015-01-09;9211
2015-01-10;9209
2015-01-11;9206
2015-01-12;9204
2015-01-13;9201
2015-01-14;9199
2015-01-15;9198
2015-01-16;9196
2015-01-17;9192
2015-01-18;9188
2015-01-19;9185
2015-01-20;9182
2015-01-21;9180
2015-01-22;9178
2015-01-23;9176
2015-01-24;9172
2015-01-25;9170
2015-01-26;9167
2015-01-27;9165
2015-01-28;9163
2015-01-29;9160
2015-01-30;9158
2015-01-31;9155
2015-02-01;9153
2015-02-02;9150
2015-02-03;9148
2015-02-04;9146
2015-02-05;9144
2015-02-06;9141
2015-02-07;9139
2015-02-08;9137
2015-02-09;9135
2015-02-10;9132
2015-02-11;9130
2015-02-12;9127
2015-02-13;9125
2015-02-14;9123
2015-02-15;9121
2015-02-16;9118
2015-02-17;9114
2015-02-18;9111
2015-02-19;9109
2015-02-20;9107
2015-02-21;9105
2015-02-22;9103
2015-02-23;9101
2015-02-24;9098
2015-02-25;9096
2015-02-26;9094
2015-02-27;9092
2015-02-28;9088
2015-03-01;9086
2015-03-02;9084
2015-03-03;9082
2015-03-04;9080
2015-03-05;9077
2015-03-06;9074
2015-03-07;9071
2015-03-08;9069
2015-03-09;9067
2015-03-10;9065
2015-03-11;9062
2015-03-12;9059
2015-03-13;9057
2015-03-14;9055
2015-03-15;9053
2015-03-16;9051
2015-03-17;9049
2015-03-18;9046
2015-03-19;9044
2015-03-20;9042
2015-03-21;9039
2015-03-22;9036
2015-03-23;9034
2015-03-24;9031
2015-03-25;9029
2015-03-26;9027
2015-03-27;9025
2015-03-28;9024
2015-03-29;9022
2015-03-30;9020
2015-03-31;9017
2015-04-01;9015
2015-04-02;9014
2015-04-03;9012
2015-04-04;9010
2015-04-05;9008
2015-04-06;9004
2015-04-07;9002
2015-04-08;9000
2015-04-09;8997
2015-04-10;8995
2015-04-11;8993
2015-04-12;8991
2015-04-13;8989
2015-04-14;8987
2015-04-15;8985
2015-04-16;8981
2015-04-17;8979
2015-04-18;8977
2015-04-19;8977
2015-04-20;8973
2015-04-21;8970
2015-04-22;8966
2015-04-23;8964
2015-04-24;8964
2015-04-25;8963
2015-04-26;8961
2015-04-27;8963
2015-04-28;8965
2015-04-29;8972
2015-04-30;8986
2015-05-01;9005
2015-05-02;9022
2015-05-03;9040
2015-05-04;9054
2015-05-05;9064
2015-05-06;9073
2015-05-07;9078
2015-05-08;9083
2015-05-09;9090
2015-05-10;9097
2015-05-11;9103
2015-05-12;9110
2015-05-13;9118
2015-05-14;9126
2015-05-15;9131
2015-05-16;9136
2015-05-17;9140
2015-05-18;9142
2015-05-19;9147
2015-05-20;9151
