Date;Value
2011-01-16;322
2011-01-17;327
2011-01-18;332
2011-01-19;339
2011-01-20;341
2011-01-21;335
2011-01-22;333
2011-01-23;330
2011-01-24;328
2011-01-25;325
2011-01-26;325
2011-01-27;328
2011-01-28;325
2011-01-29;324
2011-01-30;324
2011-01-31;322
2011-02-01;312
2011-02-02;299
2011-02-03;289
2011-02-04;307
2011-02-05;315
2011-02-06;316
2011-02-07;316
2011-02-08;312
2011-02-09;312
2011-02-10;310
2011-02-11;310
2011-02-12;313
2011-02-13;315
2011-02-14;317
2011-02-15;319
2011-02-16;319
2011-02-17;317
2011-02-18;315
2011-02-19;315
2011-02-20;320
2011-02-21;322
2011-02-22;320
2011-02-23;320
2011-02-24;321
2011-02-25;322
2011-02-26;321
2011-02-27;319
2011-02-28;319
2011-03-01;318
2011-03-02;316
2011-03-03;318
2011-03-04;324
2011-03-05;324
2011-03-06;315
2011-03-07;308
2011-03-08;314
2011-03-09;314
2011-03-10;315
2011-03-11;317
2011-03-12;320
2011-03-13;320
2011-03-14;322
2011-03-15;322
2011-03-16;320
2011-03-17;311
2011-03-18;301
2011-03-19;301
2011-03-20;303
2011-03-21;303
2011-03-22;299
2011-03-23;300
2011-03-24;300
2011-03-25;302
2011-03-26;303
2011-03-27;305
2011-03-28;306
2011-03-29;317
2011-03-30;315
2011-03-31;313
2011-04-01;313
2011-04-02;313
2011-04-03;315
2011-04-04;317
2011-04-05;320
2011-04-06;321
2011-04-07;319
2011-04-08;309
2011-04-09;319
2011-04-10;328
2011-04-11;336
2011-04-12;340
2011-04-13;347
2011-04-14;350
2011-04-15;350
2011-04-16;342
2011-04-17;342
2011-04-18;341
2011-04-19;323
2011-04-20;322
2011-04-21;317
2011-04-22;300
2011-04-23;295
2011-04-24;296
2011-04-25;309
2011-04-26;321
2011-04-27;326
2011-04-28;334
2011-04-29;337
2011-04-30;332
2011-05-01;319
2011-05-02;310
2011-05-03;308
2011-05-04;305
2011-05-05;306
2011-05-06;306
2011-05-07;306
2011-05-08;303
2011-05-09;291
2011-05-10;291
2011-05-11;295
2011-05-12;302
2011-05-13;304
2011-05-14;305
2011-05-15;298
2011-05-16;292
2011-05-17;282
2011-05-18;284
2011-05-19;286
2011-05-20;290
2011-05-21;293
2011-05-22;295
2011-05-23;289
2011-05-24;291
2011-05-25;296
2011-05-26;300
2011-05-27;304
2011-05-28;299
2011-05-29;284
2011-05-30;278
2011-05-31;279
2011-06-01;287
2011-06-02;308
2011-06-03;361
2011-06-04;422
2011-06-05;452
2011-06-06;499
2011-06-07;500
2011-06-08;480
2011-06-09;462
2011-06-10;450
2011-06-11;447
2011-06-12;454
2011-06-13;457
2011-06-14;452
2011-06-15;425
2011-06-16;360
2011-06-17;343
2011-06-18;336
2011-06-19;328
2011-06-20;325
2011-06-21;314
2011-06-22;286
2011-06-23;284
2011-06-24;297
2011-06-25;311
2011-06-26;316
2011-06-27;322
